"address","result_lat","result_lng","match"
"98 rue Alexandre Dumas 02100 SAINT-QUENTIN",49.848723,3.271008,True
"Route de BOHAIN 02100 Saint-Quentin",49.84959,3.30666,False
"Rue Antoine Parmentier 02100 SAINT-QUENTIN",49.852846,3.2614490000000003,True
"60 BIS RUE DE LA FERE 02100 SAINT QUENTIN",49.832723,3.307022,False
"Rue de la Fère 02100 Saint-Quentin",49.832443,3.307339,True
"25 Boulevard Victor Hugo 02100 SAINT-QUENTIN",49.842234000000005,3.283808,True
"153 Rue de Mulhouse 02100 SAINT-QUENTIN",49.84809,3.3010620000000004,True
"BLD CAMILLE GUERIN 02100 Saint-Quentin",49.833566,3.3024199999999997,False
"rue de la Fère 02100 Neuville-Saint-Amand",49.824708,3.309807,True
"Rue Olivier Deguise 02110 BOHAIN-EN-VERMANDOIS",49.983892,3.461468,True
"22 rue de Vaux 02110 BOHAIN-EN-VERMANDOIS",49.985903,3.461214,True
"ROUTE DE SAINT QUENTIN 02110 BOHAIN-EN-VERMANDOIS",49.978484,3.4489099999999997,False
"87 rue de st quentin 02110 Bohain-en-Vermandois",49.981511,3.4520120000000003,False
"56 place du Jeu de Paume 02120 GUISE",49.896566,3.6255919999999997,True
"RUE SADI CARNOT 02120 GUISE",49.902869,3.6292699999999996,True
"Rue des Docteurs Devillers 02120 GUISE",49.901362,3.6339550000000003,True
"56 rue du jeu de Paume 02120 Guise",49.896224,3.6257339999999996,True
"Rue du Stade 02130 FèRE-EN-TARDENOIS",49.204088,3.516636,True
"Aire de Tardenois  A4 02130 Fresnes-en-Tardenois",49.146829,3.553099,False
" Avenue de la Gare 02130 FèRE-EN-TARDENOIS",49.205551,3.5073769999999995,False
"autoroute A4 aire de tardenois sud 02130 Fresnes-en-Tardenois",49.146518,3.5561010000000004,False
"Autoroute de l'Est 02130 Fresnes-en-Tardenois",49.146518,3.5561010000000004,False
" Place Sohier 02140 Vervins",49.83514,3.9087099999999997,False
"ZI de la Briquetterie 02140 Vervins",45.24146,1.737816,False
"73 Hameau Chaussée de Fontaine  RN2 02140 FONTAINE-LèS-VERVINS",49.842197999999996,3.905657,False
"RUE DES VERRIERS 02170 LE NOUVION-EN-THIéRACHE",50.01213,3.7806910000000005,True
"3 RUE PIERRE CURTIL 02190 Guignicourt",49.434940999999995,3.9669879999999997,True
"AUT A 26 AIRE DU MONT NIZY 02190 JUVINCOURT-ET-DAMARY",49.450907,3.924572,False
"A26  Aire du Champ Roland 02190 Guignicourt",49.441569,3.971379,False
"3 Rue Pierre Curtil 02190 GUIGNICOURT",49.434940999999995,3.9669879999999997,True
"AUT A 26 AIRE DU MONT NIZY 02190 Juvincourt-et-Damary",49.450907,3.924572,False
"3 Avenue Raymonde Fiolet 02200 Soissons",49.369065,3.313486,True
"9 Rue de Villeneuve 02200 SOISSONS",49.370114,3.338957,True
"ROUTE DE REIMS 02200 BILLY-SUR-AISNE",49.370292,3.35545,True
"50 Avenue de ChâteauThierry 02200 Soissons",49.369684,3.329678,False
"AVENUE DE COMPIEGNE 02200 MERCIN-ET-VAUX",49.38162,3.289306,True
"1 Place de Laon 02200 Soissons",49.386311,3.3329419999999996,True
"183 ROUTE DE PARIS  02200 Vauxbuin",49.364385999999996,3.304388,False
"43 Avenue de ChâteauThierry 02200 Belleu",49.370293,3.330076,False
"Avenue de Compiègne 02200 MERCIN-ET-VAUX",49.38162,3.289306,True
"Rue d'Acy 02200 Venizel",49.363918,3.40326,True
"AV.DE COMPIEGNE  RN.31 02200 Mercin-et-Vaux",49.38162,3.289306,False
"50 BIS ROUTE DE CHATEAU THIERRY 02200 SOISSONS",49.368078999999994,3.3291660000000003,False
"9 ET 11 RUE DE VILLENEUVE 02200 SOISSONS",49.370405,3.3397449999999997,False
" Avenue de la Gare 02210 OULCHY-LE-CHâTEAU",49.201278,3.3640120000000002,False
"34 BD DE MONTPELLIER 02220 BRAINE",49.338974,3.527016,False
"1000 rue jean jaures 02230 Fresnoy-le-Grand",49.95521,3.4279610000000003,True
"74 Rue Blondel 02240 RIBEMONT",49.800965999999995,3.4668690000000004,True
"73 chaussee de fontaine 02140 Fontaine-lès-Vervins",49.842197999999996,3.905657,True
"Rue Saint Nicolas 02250 MARLE",49.743252000000005,3.774145,False
"Route de Thiernu 02250 Marle",49.750157,3.7733410000000003,True
"24 AVENUE CARNOT 02250 Marle",49.747729,3.771728,True
"rue de l'armistice 02260 LA CAPELLE",49.973245,3.9194620000000002,True
"2 AVENUE DE LA LIBERATION 02270 Crécy-sur-Serre",49.691596999999994,3.6232879999999996,True
"CD 24 route de liesse 02820 SAINT-ERME-OUTRE-ET-RAMECOURT",49.531554,3.854574,False
"9 AVENUE DE LA GARE 02290 RESSONS-LE-LONG",49.400341999999995,3.114052,True
"RD 338 02300 Viry-Noureuil",49.636158,3.235898,False
"CHEMIN DEPARTEMENTAL 937 02300 AUTREVILLE",49.589655,3.238903,False
"108 Rue Pasteur 02300 Chauny",49.619042,3.2227740000000002,True
"9 Rue Anatole France 02300 Chauny",49.611127,3.221101,False
"Boulevard de l'Europe 02300 Chauny",49.62632,3.218433,True
"24 rue du point du jour 02300 Blérancourt",49.519587,3.148933,True
"route de pavant 02310 CHARLY",48.974090000000004,3.2823010000000004,False
"47 Rue Jules Lefèbvre 02130 Fère-en-Tardenois",49.197451,3.5146300000000004,True
"34 bis Rue du 7 ème Bca 02320 PINON",49.482305,3.453385,False
"Rue de Coucy 02320 ANIZY-LE-CHâTEAU",49.504768,3.443572,False
"14 ROUTE DE MONTCORNET 02340 LISLET",49.687638,4.022993,False
"Lieu dit du grand hôtel 02360 Rozoy-sur-Serre",49.704617,4.112352,False
"AVENUE JEAN JAURES 02370 Vailly-sur-Aisne",49.405904,3.5151730000000003,True
"Le Pré Montré 02380 CRECY-AU-MONT",49.492036,3.334422,True
"D1  LIEU DIT LE PRE MONTRE 02380 Crécy-au-Mont",49.492036,3.334422,False
" Rue du Thil 02390 ORIGNY-SAINTE-BENOITE",49.836490999999995,3.495215,False
"37 Avenue d'Essômes 02400 CHâTEAU-THIERRY",49.040202,3.387199,True
"Avenue du Général de Gaulle 02400 Essômes-sur-Marne",49.031971999999996,3.376903,True
"Z.A Rue de la Plaine 02400 CHâTEAU-THIERRY",49.035607,3.3906410000000005,False
"22 Avenue de l'Europe 02400 Château-Thierry",49.035540000000005,3.393079,True
"ZC LA MOISERIE ROUTE DE SOISSONS 02400 Château-Thierry",49.056837,3.3962190000000003,False
"13 Avenue Jules Lefèbvre 02400 Château-Thierry",49.04326,3.395378,True
"39 Rue de Picardie 02420 Bellicourt",49.960770000000004,3.2314830000000003,True
" Rue Auguste Delaune 02430 GAUCHY",49.825271,3.279789,False
"16 RUE DU 2 SEPTEMBRE 1944 02450 LA NEUVILLE-LèS-DORENGT",50.001566,3.6852400000000003,False
"ZI l'Ecorcherie 02460 La Ferté-Milon",49.184434,3.125203,False
"Avenue de la Victoire 02480 Jussy",49.726832,3.2383290000000002,True
"AVENUE DE VERDUN 02500 HIRSON",49.912622999999996,4.091272,True
