"id","superseded_by"
33400002,33400009
33400003,33400008
33410004,33410006
33500002,33500007
33500003,33500006
33520001,33520005
33560001,33560004
33600004,33600011
33600005,33600009
33600008,33600010
33700003,33700024
33700004,33700021
33700007,33700023
33700008,33700023
33720002,33720008
33800002,33000021
34000002,34070018
34000005,34000014
34000006,34000015
34000008,34070017
34000012,34000013
34070006,34070016
34070009,34070019
34090002,34090003
34110001,34110005
34200004,34200013
34250001,34250003
34280002,34280005
34280003,34280004
34300003,34300009
34300010,34300011
34400001,34400017
34400003,34400018
34500001,34500028
34500016,34500026
34500020,34500027
34520001,34520002
34740003,34740004
35000001,35000023
35000003,35000022
35000004,35000020
35000005,35000019
35000007,35000018
35000016,35000021
35114001,35114002
35132001,35400011
35132003,35132004
35200006,35200007
35370001,35370003
35400001,35400010
35400003,35400009
35470002,35470004
35500002,35500009
35510002,35510005
35590002,35590008
35750001,35750002
35760001,35760004
36000013,36000016
36250005,36250007
36350001,36350002
37000004,37000015
37000005,37000011
37000008,37000015
37000009,37000014
37000012,37000015
37100004,37100011
37100005,37100010
37110001,37110004
37170001,37170006
37170004,37170007
37200003,37200004
37300002,37300008
37380002,37380004
37420001,37420003
37700003,37700011
37700009,37700010
37800002,37800006
37800003,37800008
37800007,37800008
38080001,38080006
38090003,38090004
38100001,38100012
38150009,38150010
38200011,38200018
38270001,38270005
38300003,38300018
38320001,38320006
38340002,38340011
38340003,38340013
38350003,38350005
38360003,38360006
38360005,38360006
38420002,38420003
38530003,38580003
38580002,38580003
38800002,38800003
39000006,39000007
39110006,39110007
39700001,39700012
39700005,39700013
40000009,40000012
40100003,40100008
40220004,40220005
40360001,40360002
40800005,40800007
41000016,41000019
41350004,41350008
41600002,41600006
42000001,42000014
42000013,42000014
42000016,42000018
42100001,42100018
42100014,42100017
42110002,42110006
42170001,42170003
42240002,42440009
42300003,42300012
42400001,42400007
42400002,42400006
42440002,42440009
43000007,43000009
43300001,43300003
44000002,44000010
44000003,44000009
44000004,44340006
44000008,44100005
44100002,44100006
44115001,44115003
44119002,44119005
44250001,44210004
44300003,44300015
44300005,44300013
44300006,44300012
44300007,44300017
44300009,44300015
44360003,44360008
44370002,44370008
44470003,44470006
44500001,44500004
44600008,44600009
44700001,44700005
44800002,44800008
44800003,44800007
44840001,44840002
45000001,45000008
45120001,45120006
45120004,45120007
45140003,45140007
45160004,45160006
45200002,45200007
45210001,45210005
45400003,45400006
45430002,45430006
45450002,45450003
45500003,45500008
45520001,45520003
45700003,45700004
45800004,45800007
45800005,45800008
46000003,46000012
47310001,47310006
47400001,47400004
47550006,47550007
48000002,48000005
48150001,48150002
48300005,48300006
49000010,49000012
49100001,49100003
49300002,49300016
49300012,49300015
50110003,50110001
50180003,50180004
50200003,50200008
50240002,50240003
51000012,51000013
51100003,51100029
51100006,51100043
51100013,51100046
51100014,51100047
51100027,51100044
51100035,51100048
51120002,51120004
51200003,51200006
51210003,51210005
51300007,51300014
51300010,51300014
51320002,51320003
51340002,51340003
51400001,51400008
51430003,51430007
51520001,51520002
51700003,51700007
52000003,52000008
52100006,52100015
52100007,52100016
52200013,52200014
53000001,53000010
53000002,53000011
53000004,53000009
53140002,53140003
54000005,54000011
54200002,54200012
54280002,54280003
54300003,54300012
54300004,54300011
54500002,54500008
54500003,54500007
54520003,54520006
