"id","Nom","Marque","address","latitude","longitude","services","automate_h24","is_closed_day","business_hours","gas_price","gas_last_update"
"27310006","SARL GASOLINA","Shell","Autoroute a13Aire du Bosgouet 27310 BOSGOUET","osm_lat      49.3612
Name: 297, dtype: object","osm_lng      0.865033
Name: 297, dtype: object","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Bar|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire",False,False,"",0.99,"2018-11-14 08:08:51"
"95610008","BP ERAGNY LES BELLEVUES","BP","ROUTE NATIONALE 184 95610 Eragny-sur-Oise","osm_lat      49.026
Name: 298, dtype: object","osm_lng      2.104
Name: 298, dtype: object","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)",False,False,"",0.919,"2018-10-03 14:48:00"
"11480001","AIRE DE LA PALME OUEST","Carrefour","A9 AIRE DE LA PALME OUEST 11480 LA PALME","osm_lat      42.9506
Name: 299, dtype: object","osm_lng      2.9699
Name: 299, dtype: object","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Bar|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Aire de camping-cars|Piste poids lourds",False,False,"",0.889,"2018-11-16 10:29:40"
"80200012","BP ASSEVILLERS EST","BP","Autoroute A1  Aire d'Assevillers Est 80200 Péronne","osm_lat      49.8888
Name: 300, dtype: object","osm_lng      2.84059
Name: 300, dtype: object","Restauration à emporter|Carburant additivé|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Piste poids lourds",False,False,"",0.989,"2018-10-08 11:30:00"
"15600001","SARL GGE LAVIGNE","Total"," Avenue de Bagnac 15600 MAURS","osm_lat      44.7091
Name: 302, dtype: object","osm_lng      2.19573
Name: 302, dtype: object","Carburant additivé|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel|Vente de fioul domestique",True,False,"",0.94,"2018-11-09 08:16:05"
"60200011","SARL MLD","TOTAL","Avenue de l' Europe 60200 Compiègne","osm_lat      49.3863
Name: 303, dtype: object","osm_lng      2.78483
Name: 303, dtype: object","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel",True,False,"",0.799,"2018-11-15 18:33:58"
"44800004","E.LECLERC ATLANTIS","Leclerc","Zone Atlantis 44800 Saint-Herblain","osm_lat      47.2261
Name: 304, dtype: object","osm_lng     -1.63436
Name: 304, dtype: object","Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Vente de pétrole lampant",True,False,"",0.697,"2018-11-09 11:54:39"
"55190003","RELAIS PORTE DE MEUSE","Total Access","ROUTE DÉPARTEMENTALE 36D 55190 PAGNY SUR MEUSE","osm_lat      48.6854
Name: 305, dtype: object","osm_lng      5.72572
Name: 305, dtype: object","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds",False,False,"",0.759,"2018-11-17 00:01:00"
"34000010","AGIP MONTPELLIER TOURNEZY","Agip","ZAC DE TOURNEZY 34070 MONTPELLIER","osm_lat      43.5789
Name: 306, dtype: object","osm_lng      3.87678
Name: 306, dtype: object","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"",0.949,"2018-11-16 20:00:00"
"45500001","AUCHAN GIEN","Auchan","Rue de la Fabrique 45500 GIEN","osm_lat      47.6879
Name: 307, dtype: object","osm_lng      2.62057
Name: 307, dtype: object","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Bar|Boutique alimentaire|Espace bébé|Boutique non alimentaire|Laverie|Vente de gaz domestique (Butane, Propane)|Relais colis|Automate CB",True,False,"",0.789,"2018-10-11 11:05:11"
