"osm_obj","osm_id","osm_lat","osm_lng","osm_ref:FR:prix-carburants","osm_name","osm_brand","osm_operator","osm_opening_hours"
"node","876063305",49.0803739,-0.6475151,"14310003","","","Carrefour Market","24/7"
"node","876063314",49.0820684,-0.6483514,"14310002","Station Total","","Total","24/7"
"node","876063323",49.0736,-0.6581353,"14310004","","","",""
"node","878894614",48.1094568,6.5731665,"88550001","","","",""
"node","882536635",42.6069745,2.996358,"66200003","","","","24/7"
"node","886571175",42.6320318,8.9454322,"20220002","Vito","Vito","","24/7"
"node","886776146",48.0580642,-2.9655382,"56300003","","","Total","24/7"
"node","887164229",48.8858603,2.2199625,"92000024","BP","","BP","24/7"
"node","887165191",48.8821662,2.2223727,"92000011","BP","","BP","24/7"
"node","889084280",49.4879346,0.1498982,"76600025","Total","","Total","24/7"
"node","889307586",48.1816319,-4.2296093,"29550001","Intermarché","","Groupement des Mousquetaires",""
"node","889457529",46.2974704,-0.3707698,"79230005","Total","Total","","24/7"
"node","891062686",46.3036927,-0.4375857,"79000008","Intermarché","","Groupement des Mousquetaires","24/7"
"node","893006614",46.5981274,4.9039843,"71700007","","Total","",""
"node","893971662",44.7455598,-1.103375,"33510002","","","Casino","24/7"
"node","895583720",47.5194765,6.9147868,"25490001","Station Service Intermarché","","Groupement des Mousquetaires","24/7"
"node","895731936",43.4534656,1.994254,"31250004","Intermarché","","Groupement des Mousquetaires","24/7"
"node","897972336",47.9133984,0.2461693,"72230002","Carrefour Market","","",""
"node","898973732",50.6993649,1.5820201,"62230001","Carrefour","","","24/7"
"node","902321367",43.8128699,4.3322616,"30900015","","Total","",""
"node","903597194",43.0889428,0.9509504,"31260001","Station Service","","","24/7"
"node","905940573",48.9207958,2.492951,"93600002","","","total","24/7"
"node","908744869",46.5312481,6.1359529,"39220002","Atac","","Atac","24/7"
"node","911204859",43.4898208,0.931581,"32130001","","","Carrefour","24/7"
"node","912965908",43.1301666,6.0123852,"83130004","","Intermarché","","24/7"
"node","915917928",48.7859695,2.316996,"92340002","Station Total","","Total","24/7"
"node","916939256",43.5884985,3.889639,"34070017","Géant","","","24/7"
"node","917259723",45.7263568,4.8141558,"69350003","","","Total","24/7"
"node","918837069",45.8717703,4.9124986,"1700003","Esso","Esso","","24/7"
"node","919421396",48.8919417,2.1445257,"78400004","","","Total","24/7"
"node","919470657",46.9615348,3.156515,"58000006","","","","24/7"
"node","925210323",46.4848605,-0.3953848,"79220001","Station service Super U","","",""
"node","925373408",43.7802569,6.3417871,"4120002","","","","24/7"
"node","925597444",43.6190798,1.4686053,"31500006","","","Esso","24/7"
"node","925672913",43.5565917,5.4186167,"13090018","Total","","","24/7"
"node","926969431",43.3254626,6.6180681,"83120001","Carrefour market - Sainte-Maxime / Le Préconil","Carrefour","",""
"node","927884913",50.9963691,2.1488932,"59820001","Total","","",""
"node","931728220",43.3532128,1.8064874,"31290008","","Total","","24/7"
"node","932280553",43.918231,5.0487863,"84800004","Total","","","24/7"
"node","932604070",46.1983802,-1.3533176,"17410002","Intermarché","","Groupement des Mousquetaires","24/7"
"node","933159795",44.1379142,4.10445,"30100013","Total","Total","Total","24/7"
"node","935127251",47.1622813,-1.2617349,"44330002","","","","24/7"
"node","935623341",43.941178,4.8267177,"84000011","Intermarché","Intermarché","","24/7"
"node","937778023",48.4370239,-4.4089134,"29490002","Super U","","Super U","24/7"
"node","938024813",48.8094836,-3.2980603,"22710001","","","","24/7"
"node","940715960",44.385611,6.6513309,"4400003","Station du Gravier SATA","","",""
"node","940809115",43.5056308,1.5563822,"31450004","","","Super U","24/7"
"node","940809126",43.531157,1.5344873,"31670001","","","Kai","24/7"
"node","940979803",44.8819101,6.6233042,"5100004","","Carrefour","","24/7"
"node","941747758",45.6879013,2.8060506,"63210002","Avia","","","24/7"
"node","942543165",47.9963879,4.3660909,"10340001","Garage Roy","Avia","","24/7"
"node","944083020",45.7348657,4.8392987,"69007006","Total","","","24/7"
"node","944734385",43.2638412,6.5772423,"83310011","Relais Total De La Foux","","Total",""
