"id","lat","lng","adresse","cp","ville","services","automate_h24","active","address","lower_address"
"77760001",48.32384,2.57724,"Rue de l'Avenir","77760","LA CHAPELLE-LA-REINE","Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Relais colis|Automate CB|Lavage automatique|Lavage manuel",True,True,"Rue de l'Avenir 77760 LA CHAPELLE-LA-REINE","rue de l'avenir 77760 la chapelle-la-reine"
"77760002",48.32,2.575,"36 Avenue de Fontainebleau","77760","La Chapelle-la-Reine","Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Relais colis|Piste poids lourds|Lavage automatique",False,True,"36 Avenue de Fontainebleau 77760 La Chapelle-la-Reine","36 avenue de fontainebleau 77760 la chapelle-la-reine"
"77760003",48.361574,2.573002,"AIRE DE ACHERES LA FORET OUEST A6","77760","Achères-la-Forêt","Boutique alimentaire|Boutique non alimentaire",False,True,"AIRE DE ACHERES LA FORET OUEST A6 77760 Achères-la-Forêt","aire de acheres la foret ouest a6 77760 achères-la-forêt"
"77780002",48.328231,2.687303,"RN7","77780","Bourron-Marlotte","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Piste poids lourds",False,False,"RN7 77780 Bourron-Marlotte","rn7 77780 bourron-marlotte"
"77780003",48.328231,2.687303,"RN 7","77780","Bourron-Marlotte","",False,True,"RN 7 77780 Bourron-Marlotte","rn 7 77780 bourron-marlotte"
"77800001",48.322269,2.686291,"RN 7","77880","Grez-sur-Loing","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds",False,False,"RN 7 77880 Grez-sur-Loing","rn 7 77880 grez-sur-loing"
"77810001",48.40856,2.79165,"Chemin des Prés","77810","THOMERY","Boutique alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB",True,True,"Chemin des Prés 77810 THOMERY","chemin des prés 77810 thomery"
"77820003",48.492,2.796,"5 rue des Grands Champs","77820","LE CHÂTELET-EN-BRIE","Automate CB",True,True,"5 rue des Grands Champs 77820 LE CHÂTELET-EN-BRIE","5 rue des grands champs 77820 le châtelet-en-brie"
"77860001",48.8726,2.871887,"61 AVENUE DE L'ENSOLEILLEE","77860","COUILLY-PONT-AUX-DAMES","Automate CB",True,True,"61 AVENUE DE L'ENSOLEILLEE 77860 COUILLY-PONT-AUX-DAMES","61 avenue de l'ensoleillee 77860 couilly-pont-aux-dames"
"77870001",48.434,2.753,"44 Route d'Héricy","77870","VULAINES-SUR-SEINE","Vente de gaz domestique (Butane, Propane)",False,True,"44 Route d'Héricy 77870 VULAINES-SUR-SEINE","44 route d'héricy 77870 vulaines-sur-seine"
"77880001",48.322269,2.686291,"RN 7","77880","Grez-sur-Loing","Restauration à emporter|Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Piste poids lourds",False,True,"RN 7 77880 Grez-sur-Loing","rn 7 77880 grez-sur-loing"
"77910001",49.00096,2.92102,"17 Avenue des Américains","77910","Varreddes","Carburant additivé|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Lavage automatique|Lavage manuel",False,True,"17 Avenue des Américains 77910 Varreddes","17 avenue des américains 77910 varreddes"
"77940001",48.280881,2.960324,"ZA de Richebourg","77940","VOULX","Carburant additivé|Boutique alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Lavage manuel",False,False,"ZA de Richebourg 77940 VOULX","za de richebourg 77940 voulx"
"77950001",48.552753,2.670918," Rue du Perré","77950","RUBELLES","Toilettes publiques|Vente de gaz domestique (Butane, Propane)|Automate CB",True,True," Rue du Perré 77950 RUBELLES"," rue du perré 77950 rubelles"
"78000002",48.80491,2.1525,"60 Boulevard de la République","78000","Versailles","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)",False,False,"60 Boulevard de la République 78000 Versailles","60 boulevard de la république 78000 versailles"
"78000003",48.79337,2.14336,"71 Rue des Chantiers","78000","VERSAILLES","Restauration à emporter|Carburant additivé|Restauration sur place|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel",True,False,"71 Rue des Chantiers 78000 VERSAILLES","71 rue des chantiers 78000 versailles"
"78000004",48.81774,2.15029,"15 Rue du Général Pershing","78000","Versailles","Carburant additivé|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB",True,False,"15 Rue du Général Pershing 78000 Versailles","15 rue du général pershing 78000 versailles"
"78000005",48.78799,2.14989,"50 Rue du Pont Colbert","78000","Versailles","",False,True,"50 Rue du Pont Colbert 78000 Versailles","50 rue du pont colbert 78000 versailles"
"78000008",48.8,2.133,"10 bis, Rue des États-Généraux","78000","VERSAILLES","Restauration à emporter|Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Piste poids lourds|Lavage automatique",False,True,"10 bis Rue des ÉtatsGénéraux 78000 VERSAILLES","10 bis rue des étatsgénéraux 78000 versailles"
"78000009",48.79293,2.11922,"AV CLEMENT ADER","78000","Versailles","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)",False,False,"AV CLEMENT ADER 78000 Versailles","av clement ader 78000 versailles"
"78000011","","","rue de dreux N12","78390","BOIS D'ARCY","Toilettes publiques|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"rue de dreux N12 78390 BOIS D'ARCY","rue de dreux n12 78390 bois d'arcy"
"78000016",48.79113,2.11434,"Avenue Clément Ader","78000","Versailles","Carburant additivé|Automate CB",True,True,"Avenue Clément Ader 78000 Versailles","avenue clément ader 78000 versailles"
"78000018",48.80494,2.15242,"60 Boulevard de la République","78000","Versailles","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"60 Boulevard de la République 78000 Versailles","60 boulevard de la république 78000 versailles"
"78000019",48.81774,2.15029,"15 AV DU GENERAL PERSHING","78000","VERSAILLES","Restauration à emporter|Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB",True,True,"15 AV DU GENERAL PERSHING 78000 VERSAILLES","15 av du general pershing 78000 versailles"
"78000020",48.79337,2.14336,"71 RUE DES CHANTIERS","78000","VERSAILLES","Restauration à emporter|Carburant additivé|Restauration sur place|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique|Lavage manuel",False,True,"71 RUE DES CHANTIERS 78000 VERSAILLES","71 rue des chantiers 78000 versailles"
"78000021",48.804704,2.152807,"60 AV DE LA REPUBLIQUE","78000","VERSAILLES","",False,True,"60 AV DE LA REPUBLIQUE 78000 VERSAILLES","60 av de la republique 78000 versailles"
"78100001",48.89957,2.07564,"122 Rue Président Roosevelt","78100","SAINT-GERMAIN-EN-LAYE","Restauration à emporter|Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False,False,"122 Rue Président Roosevelt 78100 SAINT-GERMAIN-EN-LAYE","122 rue président roosevelt 78100 saint-germain-en-laye"
